Nouns,Errors_in_non_count_form,Type,Condition_label,Numeral,First_adjective,First_adjective_stem_modification_m,First_adjective_stem_modification_m_def,First_adjective_stem_modification_f,First_adjective_stem_modification_n,First_adjective_stem_modification_pl,Second_adjective,Second_adjective_stem_modification_m,Second_adjective_stem_modification_m_def,Second_adjective_stem_modification_f,Second_adjective_stem_modification_n,Second_adjective_stem_modification_pl,Gender_and_number_of_final_noun,Number_of_final_noun,Definite_ending_if_final_noun_is_masculine,Condition_beginning,First_position_first_adjective,First_position_second_adjective,Condition_target_noun,Condition_middle,Second_position_first_adjective,Second_position_second_adjective,Condition_end,Target_noun_base_form,Target_noun_count_form,Target_noun_plural_form,Target_noun_other_plural_forms,Final_noun,Group,Numeral_Type,Final_sentence,Number_of_words_in_condition_in_target_region,Number_of_words_in_condition,All_colums_with_count_forms_with_the_wrong_ending,All_colums_with_plural_forms_with_the_wrong_ending,All_columns_with_identical_plural_and_count_forms
,,target1,A0+count,два,голям,голем,голем,голяма,голямо,големи,широк,широк,широк,широка,широко,широки,f,sg,,два,,,стола,стояха в,голямата,широка,стая,стол,стола,столове,,стая,A,low,два стола стояха в голямата широка стая,2,7,,,
,,target1,A0+plural,два,голям,голем,голем,голяма,голямо,големи,широк,широк,широк,широка,широко,широки,f,sg,,два,,,столове,стояха в,голямата,широка,стая,стол,стола,столове,,стая,B,low,два столове стояха в голямата широка стая,2,7,,,
,,target1,A2+count,два,голям,голем,голем,голяма,голямо,големи,широк,широк,широк,широка,широко,широки,f,sg,,два,големи,широки,стола,стояха в,,,стаята,стол,стола,столове,,стая,C,low,два големи широки стола стояха в стаята,4,7,,,
,,target1,A2+plural,два,голям,голем,голем,голяма,голямо,големи,широк,широк,широк,широка,широко,широки,f,sg,,два,големи,широки,столове,стояха в,,,стаята,стол,стола,столове,,стая,D,low,два големи широки столове стояха в стаята,4,7,,,
,,target1,A0+count,два,бърз,бърз,бърз,бърза,бързо,бързи,див,див,див,дива,диво,диви,m,sg,,три,,,елена,бяха подгонени от,бързия,див,лъв,елен,елена,елени,,лъв,B,low,три елена бяха подгонени от бързия див лъв,2,8,,,
,,target1,A0+plural,два,бърз,бърз,бърз,бърза,бързо,бързи,див,див,див,дива,диво,диви,m,sg,,три,,,елени,бяха подгонени от,бързия,див,лъв,елен,елена,елени,,лъв,C,low,три елени бяха подгонени от бързия див лъв,2,8,,,
,,target1,A2+count,два,бърз,бърз,бърз,бърза,бързо,бързи,див,див,див,дива,диво,диви,m,sg,,три,бързи,диви,елена,бяха подгонени от,,,лъва,елен,елена,елени,,лъв,D,low,три бързи диви елена бяха подгонени от лъва,4,8,,,
,,target1,A2+plural,два,бърз,бърз,бърз,бърза,бързо,бързи,див,див,див,дива,диво,диви,m,sg,,три,бързи,диви,елени,бяха подгонени от,,,лъва,елен,елена,елени,,лъв,A,low,три бързи диви елени бяха подгонени от лъва,4,8,,,
,,target1,A0+count,два,стар,стар,стар,стара,старо,стари,счупен,счупен,счупен,счупена,счупено,счупени,f,sg,,четири,,,кревата,се намираха до,старата,счупена,маса,креват,кревата,кревати,,маса,C,low,четири кревата се намираха до старата счупена маса,2,8,,,
,,target1,A0+plural,два,стар,стар,стар,стара,старо,стари,счупен,счупен,счупен,счупена,счупено,счупени,f,sg,,четири,,,кревати,се намираха до,старата,счупена,маса,креват,кревата,кревати,,маса,D,low,четири кревати се намираха до старата счупена маса,2,8,,,
,,target1,A2+count,два,стар,стар,стар,стара,старо,стари,счупен,счупен,счупен,счупена,счупено,счупени,f,sg,,четири,стари,счупени,кревата,се намираха до,,,масата,креват,кревата,кревати,,маса,A,low,четири стари счупени кревата се намираха до масата,4,8,,,
,,target1,A2+plural,два,стар,стар,стар,стара,старо,стари,счупен,счупен,счупен,счупена,счупено,счупени,f,sg,,четири,стари,счупени,кревати,се намираха до,,,масата,креват,кревата,кревати,,маса,B,low,четири стари счупени кревати се намираха до масата,4,8,,,
,,target1,A0+count,два,мил,мил,мил,мила,мило,мили,обичлив,обичлив,обичлив,обичлива,обичливо,обичливи,n,sg,,пет,,,хамстера,се отглеждаха от,милото,обичливо,момче,хамстер,хамстера,хамстери,,момче,D,high,шест хамстера се отглеждаха от милото обичливо момче,2,8,,,
,,target1,A0+plural,два,мил,мил,мил,мила,мило,мили,обичлив,обичлив,обичлив,обичлива,обичливо,обичливи,n,sg,,пет,,,хамстери,се отглеждаха от,милото,обичливо,момче,хамстер,хамстера,хамстери,,момче,A,high,шест хамстери се отглеждаха от милото обичливо момче,2,8,,,
,,target1,A2+count,два,мил,мил,мил,мила,мило,мили,обичлив,обичлив,обичлив,обичлива,обичливо,обичливи,n,sg,,пет,мили,обичливи,хамстера,се отглеждаха от,,,момчето,хамстер,хамстера,хамстери,,момче,B,high,шест мили обичливи хамстера се отглеждаха от момчето,4,8,,,
,,target1,A2+plural,два,мил,мил,мил,мила,мило,мили,обичлив,обичлив,обичлив,обичлива,обичливо,обичливи,n,sg,,пет,мили,обичливи,хамстери,се отглеждаха от,,,момчето,хамстер,хамстера,хамстери,,момче,C,high,шест мили обичливи хамстери се отглеждаха от момчето,4,8,,,
,,target1,A0+count,два,страшен,страшн,страшн,страшна,страшно,страшни,черен,черн,черн,черна,черно,черни,f,sg,,шест,,,прилепа,живееха в,страшната,черна,пещера,прилеп,прилепа,прилепи,,пещера,A,high,седем прилепа живееха в страшната черна пещера,2,7,,,
,,target1,A0+plural,два,страшен,страшн,страшн,страшна,страшно,страшни,черен,черн,черн,черна,черно,черни,f,sg,,шест,,,прилепи,живееха в,страшната,черна,пещера,прилеп,прилепа,прилепи,,пещера,B,high,седем прилепи живееха в страшната черна пещера,2,7,,,
,,target1,A2+count,два,страшен,страшн,страшн,страшна,страшно,страшни,черен,черн,черн,черна,черно,черни,f,sg,,шест,страшни,черни,прилепа,живееха в,,,пещерата,прилеп,прилепа,прилепи,,пещера,C,high,седем страшни черни прилепа живееха в пещерата,4,7,,,
,,target1,A2+plural,два,страшен,страшн,страшн,страшна,страшно,страшни,черен,черн,черн,черна,черно,черни,f,sg,,шест,страшни,черни,прилепи,живееха в,,,пещерата,прилеп,прилепа,прилепи,,пещера,D,high,седем страшни черни прилепи живееха в пещерата,4,7,,,
,,target1,A0+count,два,прашен,прашн,прашн,прашна,прашно,прашни,стъклен,стъклен,стъклен,стъклена,стъклено,стъклени,m,sg,,седем,,,буркана,бяха поставени до,прашния,стъклен,прозорец,буркан,буркана,буркани,,прозорец,B,high,седем буркана бяха поставени до прашния стъклен прозорец,2,8,,,
,,target1,A0+plural,два,прашен,прашн,прашн,прашна,прашно,прашни,стъклен,стъклен,стъклен,стъклена,стъклено,стъклени,m,sg,,седем,,,буркани,бяха поставени до,прашния,стъклен,прозорец,буркан,буркана,буркани,,прозорец,C,high,седем буркани бяха поставени до прашния стъклен прозорец,2,8,,,
,,target1,A2+count,два,прашен,прашн,прашн,прашна,прашно,прашни,стъклен,стъклен,стъклен,стъклена,стъклено,стъклени,m,sg,,седем,прашни,стъклени,буркана,бяха поставени до,,,прозореца,буркан,буркана,буркани,,прозорец,D,high,седем прашни стъклени буркана бяха поставени до прозореца,4,8,,,
,,target1,A2+plural,два,прашен,прашн,прашн,прашна,прашно,прашни,стъклен,стъклен,стъклен,стъклена,стъклено,стъклени,m,sg,,седем,прашни,стъклени,буркани,бяха поставени до,,,прозореца,буркан,буркана,буркани,,прозорец,A,high,седем прашни стъклени буркани бяха поставени до прозореца,4,8,,,
,,target1,A0+count,два,космат,космат,космат,космата,космато,космати,бял,бел,бел,бяла,бяло,бели,n,sg,,два,,,котарака,бяха подплашени от ,косматото,бяло,куче,котарак,котарака,котараци,,куче,C,low,два котарака бяха подплашени от косматото бяло куче,2,8,,,
,,target1,A0+plural,два,космат,космат,космат,космата,космато,космати,бял,бел,бел,бяла,бяло,бели,n,sg,,два,,,котараци,бяха подплашени от ,косматото,бяло,куче,котарак,котарака,котараци,,куче,D,low,два котараци бяха подплашени от косматото бяло куче,2,8,,,
,,target1,A2+count,два,космат,космат,космат,космата,космато,космати,бял,бел,бел,бяла,бяло,бели,n,sg,,два,космати,бели,котарака,бяха подплашени от ,,,кучето,котарак,котарака,котараци,,куче,A,low,два космати бели котарака бяха подплашени от кучето,4,8,,,
,,target1,A2+plural,два,космат,космат,космат,космата,космато,космати,бял,бел,бел,бяла,бяло,бели,n,sg,,два,космати,бели,котараци,бяха подплашени от ,,,кучето,котарак,котарака,котараци,,куче,B,low,два космати бели котараци бяха подплашени от кучето,4,8,,,
,,target1,A0+count,два,дълъг,дълг,дълг,дълга,дълго,дълги,скучен,скучн,скучн,скучна,скучно,скучни,n,sg,,три,,,закона,бяха приети след,дългото,скучно,среща,закон,закона,закони,,среща,D,low,три закона бяха приети след дългото скучно среща,2,8,,,
,,target1,A0+plural,два,дълъг,дълг,дълг,дълга,дълго,дълги,скучен,скучн,скучн,скучна,скучно,скучни,n,sg,,три,,,закони,бяха приети след,дългото,скучно,среща,закон,закона,закони,,среща,A,low,три закони бяха приети след дългото скучно среща,2,8,,,
,,target1,A2+count,два,дълъг,дълг,дълг,дълга,дълго,дълги,скучен,скучн,скучн,скучна,скучно,скучни,n,sg,,три,дълги,скучни,закона,бяха приети след,,,срещато,закон,закона,закони,,среща,B,low,три дълги скучни закона бяха приети след срещато,4,8,,,
,,target1,A2+plural,два,дълъг,дълг,дълг,дълга,дълго,дълги,скучен,скучн,скучн,скучна,скучно,скучни,n,sg,,три,дълги,скучни,закони,бяха приети след,,,срещато,закон,закона,закони,,среща,C,low,три дълги скучни закони бяха приети след срещато,4,8,,,
,,target1,A0+count,два,чужд,чужд,чужд,чужда,чуждо,чужди,известен,известн,известн,известна,известно,известни,m,sg,я,четири,,,романа,бяха публикувани от,чуждия,известен,издател,роман,романа,романи,,издател,A,low,четири романа бяха публикувани от чуждия известен издател,2,8,,,
,,target1,A0+plural,два,чужд,чужд,чужд,чужда,чуждо,чужди,известен,известн,известн,известна,известно,известни,m,sg,я,четири,,,романи,бяха публикувани от,чуждия,известен,издател,роман,романа,романи,,издател,B,low,четири романи бяха публикувани от чуждия известен издател,2,8,,,
,,target1,A2+count,два,чужд,чужд,чужд,чужда,чуждо,чужди,известен,известн,известн,известна,известно,известни,m,sg,я,четири,чужди,известни,романа,бяха публикувани от,,,издателя,роман,романа,романи,,издател,C,low,четири чужди известни романа бяха публикувани от издателя,4,8,,,
,,target1,A2+plural,два,чужд,чужд,чужд,чужда,чуждо,чужди,известен,известн,известн,известна,известно,известни,m,sg,я,четири,чужди,известни,романи,бяха публикувани от,,,издателя,роман,романа,романи,,издател,D,low,четири чужди известни романи бяха публикувани от издателя,4,8,,,
,,target1,A0+count,два,важен,важн,важн,важна,важно,важни,политически,политическ,политическ,политическа,политическо,политически,f,sg,,пет,,,регламента,бяха обсъдени преди,важната,политическа,дискусия,регламент,регламента,регламенти,,дискусия,B,high,пет регламента бяха обсъдени преди важната политическа дискусия,2,8,,,
,,target1,A0+plural,два,важен,важн,важн,важна,важно,важни,политически,политическ,политическ,политическа,политическо,политически,f,sg,,пет,,,регламенти,бяха обсъдени преди,важната,политическа,дискусия,регламент,регламента,регламенти,,дискусия,C,high,пет регламенти бяха обсъдени преди важната политическа дискусия,2,8,,,
,,target1,A2+count,два,важен,важн,важн,важна,важно,важни,политически,политическ,политическ,политическа,политическо,политически,f,sg,,пет,важни,политически,регламента,бяха обсъдени преди,,,дискусията,регламент,регламента,регламенти,,дискусия,D,high,пет важни политически регламента бяха обсъдени преди дискусията,4,8,,,
,,target1,A2+plural,два,важен,важн,важн,важна,важно,важни,политически,политическ,политическ,политическа,политическо,политически,f,sg,,пет,важни,политически,регламенти,бяха обсъдени преди,,,дискусията,регламент,регламента,регламенти,,дискусия,A,high,пет важни политически регламенти бяха обсъдени преди дискусията,4,8,,,
,,target1,A0+count,два,сив,сив,сив,сива,сиво,сиви,прокъсан,прокъсан,прокъсан,прокъсана,прокъсано,прокъсани,f,sg,,шест,,,шинела,висяха в,сивата,прокъсана,торба,шинел,шинела,шинели,,торба,C,high,шест шинела висяха в сивата прокъсана торба,2,7,,,
,,target1,A0+plural,два,сив,сив,сив,сива,сиво,сиви,прокъсан,прокъсан,прокъсан,прокъсана,прокъсано,прокъсани,f,sg,,шест,,,шинели,висяха в,сивата,прокъсана,торба,шинел,шинела,шинели,,торба,D,high,шест шинели висяха в сивата прокъсана торба,2,7,,,
,,target1,A2+count,два,сив,сив,сив,сива,сиво,сиви,прокъсан,прокъсан,прокъсан,прокъсана,прокъсано,прокъсани,f,sg,,шест,сиви,прокъсани,шинела,висяха в,,,торбата,шинел,шинела,шинели,,торба,A,high,шест сиви прокъсани шинела висяха в торбата,4,7,,,
,,target1,A2+plural,два,сив,сив,сив,сива,сиво,сиви,прокъсан,прокъсан,прокъсан,прокъсана,прокъсано,прокъсани,f,sg,,шест,сиви,прокъсани,шинели,висяха в,,,торбата,шинел,шинела,шинели,,торба,B,high,шест сиви прокъсани шинели висяха в торбата,4,7,,,
,,target1,A0+count,два,малък,малк,малк,малка,малко,малки,лилав,лилав,лилав,лилава,лилаво,лилави,m,sg,,седем,,,цвята,се отрониха от,малкия,лилав,храст,цвят,цвята,цветове,,храст,D,high,седем цвята се отрониха от малкия лилав храст,2,8,,,
,,target1,A0+plural,два,малък,малк,малк,малка,малко,малки,лилав,лилав,лилав,лилава,лилаво,лилави,m,sg,,седем,,,цветове,се отрониха от,малкия,лилав,храст,цвят,цвята,цветове,,храст,A,high,седем цветове се отрониха от малкия лилав храст,2,8,,,
,,target1,A2+count,два,малък,малк,малк,малка,малко,малки,лилав,лилав,лилав,лилава,лилаво,лилави,m,sg,,седем,малки,лилави,цвята,се отрониха от,,,храста,цвят,цвята,цветове,,храст,B,high,седем малки лилави цвята се отрониха от храста,4,8,,,
,,target1,A2+plural,два,малък,малк,малк,малка,малко,малки,лилав,лилав,лилав,лилава,лилаво,лилави,m,sg,,седем,малки,лилави,цветове,се отрониха от,,,храста,цвят,цвята,цветове,,храст,C,high,седем малки лилави цветове се отрониха от храста,4,8,,,
,,target1,A0+count,два,свеж,свеж,свеж,свежа,свежо,свежи,зелен,зелен,зелен,зелена,зелено,зелени,f,sg,,два,,,кукуряка,поглеждаха от,свежата,зелена,поляна,кукуряк,кукуряка,кукуряци,,поляна,A,low,два кукуряка поглеждаха от свежата зелена поляна,2,7,,,
,,target1,A0+plural,два,свеж,свеж,свеж,свежа,свежо,свежи,зелен,зелен,зелен,зелена,зелено,зелени,f,sg,,два,,,кукуряци,поглеждаха от,свежата,зелена,поляна,кукуряк,кукуряка,кукуряци,,поляна,B,low,два кукуряци поглеждаха от свежата зелена поляна,2,7,,,
,,target1,A2+count,два,свеж,свеж,свеж,свежа,свежо,свежи,зелен,зелен,зелен,зелена,зелено,зелени,f,sg,,два,свежи,зелени,кукуряка,поглеждаха от,,,поляната,кукуряк,кукуряка,кукуряци,,поляна,C,low,два свежи зелени кукуряка поглеждаха от поляната,4,7,,,
,,target1,A2+plural,два,свеж,свеж,свеж,свежа,свежо,свежи,зелен,зелен,зелен,зелена,зелено,зелени,f,sg,,два,свежи,зелени,кукуряци,поглеждаха от,,,поляната,кукуряк,кукуряка,кукуряци,,поляна,D,low,два свежи зелени кукуряци поглеждаха от поляната,4,7,,,
,,target1,A0+count,два,жълт,жълт,жълт,жълта,жълто,жълти,росен,росн,росн,росна,росно,росни,m,sg,,три,,,минзухара,се подаваха иззад,жълтия,росен,храст,минзухар,минзухара,минзухари,,храст,B,low,три минзухара се подаваха иззад жълтия росен храст,2,8,,,
,,target1,A0+plural,два,жълт,жълт,жълт,жълта,жълто,жълти,росен,росн,росн,росна,росно,росни,m,sg,,три,,,минзухари,се подаваха иззад,жълтия,росен,храст,минзухар,минзухара,минзухари,,храст,C,low,три минзухари се подаваха иззад жълтия росен храст,2,8,,,
,,target1,A2+count,два,жълт,жълт,жълт,жълта,жълто,жълти,росен,росн,росн,росна,росно,росни,m,sg,,три,жълти,росни,минзухара,се подаваха иззад,,,храста,минзухар,минзухара,минзухари,,храст,D,low,три жълти росни минзухара се подаваха иззад храста,4,8,,,
,,target1,A2+plural,два,жълт,жълт,жълт,жълта,жълто,жълти,росен,росн,росн,росна,росно,росни,m,sg,,три,жълти,росни,минзухари,се подаваха иззад,,,храста,минзухар,минзухара,минзухари,,храст,A,low,три жълти росни минзухари се подаваха иззад храста,4,8,,,
,,target1,A0+count,два,тежък,тежк,тежк,тежка,тежко,тежки,ръждясал,ръждясал,ръждясал,ръждясала,ръждясало,ръждясали,f,sg,,четири,,,камиона,превозваха,тежката,ръждясала,релса,камион,камиона,камиони,,релса,C,low,четири камиона превозваха тежката ръждясала релса,2,6,,,
,,target1,A0+plural,два,тежък,тежк,тежк,тежка,тежко,тежки,ръждясал,ръждясал,ръждясал,ръждясала,ръждясало,ръждясали,f,sg,,четири,,,камиони,превозваха,тежката,ръждясала,релса,камион,камиона,камиони,,релса,D,low,четири камиони превозваха тежката ръждясала релса,2,6,,,
,,target1,A2+count,два,тежък,тежк,тежк,тежка,тежко,тежки,ръждясал,ръждясал,ръждясал,ръждясала,ръждясало,ръждясали,f,sg,,четири,тежки,ръждясали,камиона,превозваха,,,релсата,камион,камиона,камиони,,релса,A,low,четири тежки ръждясали камиона превозваха релсата,4,6,,,
,,target1,A2+plural,два,тежък,тежк,тежк,тежка,тежко,тежки,ръждясал,ръждясал,ръждясал,ръждясала,ръждясало,ръждясали,f,sg,,четири,тежки,ръждясали,камиони,превозваха,,,релсата,камион,камиона,камиони,,релса,B,low,четири тежки ръждясали камиони превозваха релсата,4,6,,,
,,target1,A0+count,два,белосан,белосан,белосан,белосана,белосано,белосани,заоблен,заоблен,заоблен,заоблена,заоблено,заоблени,f,sg,,пет,,,камъка,закриваха,белосаната,заоблена,врата,камък,камъка,камъни,,врата,D,high,пет камъка закриваха белосаната заоблена врата,2,6,,,
,,target1,A0+plural,два,белосан,белосан,белосан,белосана,белосано,белосани,заоблен,заоблен,заоблен,заоблена,заоблено,заоблени,f,sg,,пет,,,камъни,закриваха,белосаната,заоблена,врата,камък,камъка,камъни,,врата,A,high,пет камъни закриваха белосаната заоблена врата,2,6,,,
,,target1,A2+count,два,белосан,белосан,белосан,белосана,белосано,белосани,заоблен,заоблен,заоблен,заоблена,заоблено,заоблени,f,sg,,пет,белосани,заоблени,камъка,закриваха,,,вратата,камък,камъка,камъни,,врата,B,high,пет белосани заоблени камъка закриваха вратата,4,6,,,
,,target1,A2+plural,два,белосан,белосан,белосан,белосана,белосано,белосани,заоблен,заоблен,заоблен,заоблена,заоблено,заоблени,f,sg,,пет,белосани,заоблени,камъни,закриваха,,,вратата,камък,камъка,камъни,,врата,C,high,пет белосани заоблени камъни закриваха вратата,4,6,,,
,,target1,A0+count,два,вкусен,вкусн,вкусн,вкусна,вкусно,вкусни,розов,розов,розов,розова,розово,розови,f,sg,,шест,,,домата,растяха до,вкусната,розова,череша,домат,домата,домати,,череша,A,high,шест домата растяха до вкусната розова череша,2,7,,,
,,target1,A0+plural,два,вкусен,вкусн,вкусн,вкусна,вкусно,вкусни,розов,розов,розов,розова,розово,розови,f,sg,,шест,,,домати,растяха до,вкусната,розова,череша,домат,домата,домати,,череша,B,high,шест домати растяха до вкусната розова череша,2,7,,,
,,target1,A2+count,два,вкусен,вкусн,вкусн,вкусна,вкусно,вкусни,розов,розов,розов,розова,розово,розови,f,sg,,шест,вкусни,розови,домата,растяха до,,,черешата,домат,домата,домати,,череша,C,high,шест вкусни розови домата растяха до черешата,4,7,,,
,,target1,A2+plural,два,вкусен,вкусн,вкусн,вкусна,вкусно,вкусни,розов,розов,розов,розова,розово,розови,f,sg,,шест,вкусни,розови,домати,растяха до,,,черешата,домат,домата,домати,,череша,D,high,шест вкусни розови домати растяха до черешата,4,7,,,
,,target1,A0+count,два,напет,напет,напет,напета,напето,напети,пъргав,пъргав,пъргав,пъргава,пъргаво,пъргави,n,sg,,седем,,,коня,бяха разресвани от,напетото,пъргаво,момче,кон,коня,коне,,момче,B,high,седем коня бяха разресвани от напетото пъргаво момче,2,8,,,
,,target1,A0+plural,два,напет,напет,напет,напета,напето,напети,пъргав,пъргав,пъргав,пъргава,пъргаво,пъргави,n,sg,,седем,,,коне,бяха разресвани от,напетото,пъргаво,момче,кон,коня,коне,,момче,C,high,седем коне бяха разресвани от напетото пъргаво момче,2,8,,,
